MODEL EUR Aggressive Performance,B,C,D,E,F,G,H
03/02/2026,EUR/USD,1.1851,1.1819,-0.27%,MODEL EUR Aggressive,,
,EUR/GBP,0.8662,0.8628,-0.39%,,,
,,,,,,,
,,,,,Allocation,,Performance Contribution
Cash,,,Daily,Monthly,5.00%,0.00%,
IALTP-EURO,IPW Treasury Platform Service - Clients Account,,0.00%,0.00%,0.00%,0.00%,
,Cash Nominee Account,,0.00%,0.00%,5.00%,0.00%,
,,,,,,,
Cash Equiv/Money Market,,,,,,0.00%,
,,,0.00%,0.00%,,0.00%,
,,,,,,,
Bonds,,,,,16.50%,-0.01%,-0.47%
IE00BD5CTX77,BNY Mellon Global Short-Dated High Yield Bond,,0.02%,0.02%,5.00%,0.00%,0.09%
LU0297942434,BGF Global Corporate Bond Fund A2 EUR H,,-0.08%,0.00%,7.50%,0.00%,
XS3188157393,12M EUR BO INVERSE BRCN ON NVDA AND AMD,,-3.20%,-0.31%,2.00%,-0.01%,-0.54%
XS3188156668,12M EUR WOM Phoenix AC on NVDA and AMD 9,,0.82%,-0.01%,2.00%,0.00%,-0.02%
,,,,,,,
Equity,,,,,37.50%,0.23%,19.79%
,,,0.00%,0.00%,,0.00%,
IE0003867441E,BNY Mellon Small Cap Euroland Fund EUR A Acc,,0.11%,0.11%,5.00%,0.01%,0.48%
,,,0.00%,0.00%,,0.00%,
IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF (Acc),,-0.63%,-0.03%,5.00%,0.00%,-0.13%
LU0360484769,Morgan Stanley Investment Funds - US Advantag,,-1.80%,-3.63%,2.50%,-0.09%,-7.96%
FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,,-0.21%,0.80%,7.50%,0.06%,5.26%
LU1775980201,Invesco UK Equity Fund E EUR,,0.69%,1.15%,5.00%,0.06%,5.04%
LU0140363002,Franklin Mutual European Fund A(acc) EUR,,0.26%,1.72%,10.00%,0.17%,15.08%
,,,0.00%,0.00%,,0.00%,
LU1650492330,Amundi FTSE 100 UCITS ETF EUR Hedged Acc,,-0.35%,0.92%,2.50%,0.02%,2.02%
,,,,,,,
Emerging Equity,,,,,24.50%,0.28%,24.17%
LU0248184466,Schroder ISF Asian Opportunities EUR A Acc,,2.62%,1.51%,7.50%,0.11%,9.93%
LU0106817157,Schroder SISF Emerging Europe Fund EUR A Acc,,1.55%,1.20%,7.50%,0.09%,7.89%
IE00BYXW4642,CIM Dividend Income Fund C Ordinary Shares,,-0.21%,-0.21%,2.50%,-0.01%,-0.46%
LU0359201455,BGF China Hedged A2 EUR,,0.26%,-2.06%,2.50%,-0.05%,-4.51%
LU0512094193,Morgan Stanley Investment Funds - Japanese Equity,,0.62%,0.66%,2.50%,0.02%,1.45%
IE0009JOT9U1,iShares Physical Gold EUR Hedged ETC,,6.83%,0.26%,2.00%,0.11%,9.88%
,,,,,,,
Emerging Equity,,,,,16.50%,0.64%,56.37%
IE000NVDQXE1,First Trust Indxx Global Aerospace & Defence,,0.74%,0.69%,2.50%,0.02%,1.51%
IE000BN4N0T47,FTGF ClearBridge Global Infrastructure Income Fund,,1.45%,0.76%,5.00%,0.04%,3.33%
US37960A3703,Global X U.S. Electrification ETF (USD),,1.70%,0.94%,4.00%,0.04%,3.30%
IE000YYE6WK5B,VanEck Defense UCITS ETF EUR,,0.59%,3.36%,5.00%,0.17%,14.73%
JE00B24DKH53B,WisdomTree Natural Gas 1x Daily Short EUR,,0.22%,16.63%,0.00%,0.38%,33.51%
,,,,,,,
Alternative,,,,,,0.00%,
,,,0.00%,0.00%,,0.00%,
,,,,,,,
,,,,,,0.00%,0.14%
EUR/USD,Currency EUR/USD,,-0.24%,0.27%,4.00%,0.01%,0.95%
EUR/JPY,Currency EUR/JPY,,-0.38%,-0.37%,2.50%,-0.01%,-32.44%
